Column1;Column2;Column3;Column4;Column5
Оптический датчик расстояния IFM Electronic O5D100;39 300 руб.;"Размер светового пятна, мм:; 5; Диапазоны измерения расстояния:; 1 м ...< 10 м; Дальность измерения Min, м:; 0,03; Дальность измерения Max, м:; 2; Температура эксплуатации Max, °C:; 60";https://sensoren.ru/product/opticheskiy_datchik_rasstoyaniya_ifm_electronic_o5d100/;под заказ
Датчик скорости вращения IFM Electronic DI5020;34 700 руб.;"Защита от перепутывания полярности:; да; Длина корпуса, мм:; 80; Температура эксплуатации Max, °C:; 80; Температура эксплуатации Min, °C:; -25; Размер резьбы корпуса:; M30";https://sensoren.ru/product/datchik_skorosti_vrashcheniya_ifm_electronic_di5020/;под заказ
Датчик скорости вращения IFM Electronic DI6001;42 200 руб.;"Длина корпуса, мм:; 68; Температура эксплуатации Max, °C:; 80; Температура эксплуатации Min, °C:; -20; Размер резьбы корпуса:; M18";https://sensoren.ru/product/datchik_skorosti_vrashcheniya_ifm_electronic_di6001/;под заказ
Оптический датчик расстояния LANBAO PDB-CM8DGR;30 550 руб.;"Класс лазера:; 3; Страна происхождения:; Китай; Серия:; PDB; Диапазоны измерения расстояния:; 1 м ...< 10 м; Дальность измерения Max, м:; 8; Дальность измерения Min, мм:; 200";https://sensoren.ru/product/opticheskiy_datchik_rasstoyaniya_lanbao_pdb_cm8dgr/;в наличии
Индуктивный датчик расстояния LANBAO LR18XCN08LIUM;6 190 руб.;"Страна происхождения:; Китай; Серия:; LR_M; Длина корпуса, мм:; 61,5; Температура эксплуатации Max, °C:; 70; Температура эксплуатации Min, °C:; -25; Размер резьбы корпуса:; M18";https://sensoren.ru/product/induktivnyy_datchik_rasstoyaniya_lanbao_lr18xcn08lium/;в наличии
Индуктивный датчик LANBAO LR18XCN08DPOQ-E2;8 910 руб.;"Страна происхождения:; Китай; Серия:; LR; Длина корпуса, мм:; 73; Температура эксплуатации Max, °C:; 70; Температура эксплуатации Min, °C:; -25; Размер резьбы корпуса:; M18";https://sensoren.ru/product/induktivnyy_datchik_lanbao_lr18xcn08dpoq_e2/;в наличии
Ультразвуковой датчик Pepperl Fuchs UC2000-30GM-IUR2-V15;96 000 руб.;"Серия:; UC; Температура эксплуатации Max, °C:; 70; Температура эксплуатации Min, °C:; -25; Размер резьбы корпуса:; M30";https://sensoren.ru/product/ultrazvukovoy_datchik_pepperl_fuchs_uc2000_30gm_iur2_v15/;под заказ
Лазерный датчик расстояния SICK DT50-2B215552;144 030 руб.;"Размер светового пятна, мм:; 10 x 10; Класс лазера:; 1; Страна происхождения:; Германия; Серия:; Dx502; Диапазоны измерения расстояния:; 20 м ...< 50 м; Дальность измерения Min, м:; 0,2";https://sensoren.ru/product/lazernyy_datchik_rasstoyaniya_sick_dt50_2b215552/;под заказ
Оптический датчик расстояния LANBAO PDB-CC50DGR;30 550 руб.;"Размер светового пятна, мм:; 2,5; Класс лазера:; 2; Страна происхождения:; Китай; Серия:; PDB; Время отклика, мс:; 2/16/40; Потребляемая мощность, Вт:; 0,7";https://sensoren.ru/product/opticheskiy_datchik_rasstoyaniya_lanbao_pdb_cc50dgr/;в наличии
Оптический датчик расстояния IFM Electronic O1D106;80 900 руб.;"Размер светового пятна, мм:; 150x150; Класс лазера:; 2; Диапазоны измерения расстояния:; 50 м ...< 150 м; Дальность измерения Min, м:; 1; Дальность измерения Max, м:; 75; Температура эксплуатации Max, °C:; 60";https://sensoren.ru/product/opticheskiy_datchik_rasstoyaniya_ifm_electronic_o1d106/;под заказ
Ультразвуковой датчик Pepperl Fuchs UB2000-F42-I-V15;62 500 руб.;"Серия:; UB; Температура эксплуатации Max, °C:; 70; Температура эксплуатации Min, °C:; -25";https://sensoren.ru/product/ultrazvukovoy_datchik_pepperl_fuchs_ub2000_f42_i_v15/;под заказ
Оптический датчик расстояния LANBAO PDB-CC100TGI;36 040 руб.;"Размер светового пятна, мм:; 3; Класс лазера:; 2; Страна происхождения:; Китай; Серия:; PDB; Время отклика, мс:; 2/16/40; Потребляемая мощность, Вт:; 0,7";https://sensoren.ru/product/opticheskiy_datchik_rasstoyaniya_lanbao_pdb_cc100tgi/;в наличии
Ультразвуковой датчик Pepperl Fuchs UC4000-30GM-IUR2-V15;101 700 руб.;"Серия:; UC; Температура эксплуатации Max, °C:; 70; Температура эксплуатации Min, °C:; -25; Размер резьбы корпуса:; M30";https://sensoren.ru/product/ultrazvukovoy_datchik_pepperl_fuchs_uc4000_30gm_iur2_v15/;под заказ
Датчик скорости вращения СЕНСОР ДКС-М30-81С-1113-ЛА.02;8 759 руб.;"Страна происхождения:; Россия; Номинальный ток, А:; 0,4; Серия:; ДКС-М30; Диапазон измерения частоты, Гц:; 2-50; Индикация срабатывания:; есть; Регулировка частоты:; есть";https://sensoren.ru/product/datchik_skorosti_vrashcheniya_sensor_dks_m30_81s_1113_la_02/;под заказ
Оптический датчик расстояния IFM Electronic O1D102;70 700 руб.;"Размер светового пятна, мм:; 6x6; Класс лазера:; 2; Диапазоны измерения расстояния:; 1 м ...< 10 м; Дальность измерения Min, м:; 0,2; Дальность измерения Max, м:; 3,5; Температура эксплуатации Max, °C:; 60";https://sensoren.ru/product/opticheskiy_datchik_rasstoyaniya_ifm_electronic_o1d102/;под заказ
Оптический датчик расстояния IFM Electronic O1D101;73 700 руб.;"Размер светового пятна, мм:; 15x15; Класс лазера:; 2; Диапазоны измерения расстояния:; 10 м ...< 20 м; Дальность измерения Min, м:; 0,2; Дальность измерения Max, м:; 10; Температура эксплуатации Max, °C:; 60";https://sensoren.ru/product/opticheskiy_datchik_rasstoyaniya_ifm_electronic_o1d101/;под заказ
Индуктивный датчик расстояния СЕНСОР ДПА-Ф60-40С-2110-Н;8 683 руб.;"Страна происхождения:; Россия; Серия:; ДПА; Температура эксплуатации Max, °C:; 80; Температура эксплуатации Min, °C:; -25; Размер прямоугольного корпуса, мм:; 60x60x40";https://sensoren.ru/product/induktivnyy_datchik_rasstoyaniya_sensor_dpa_f60_40s_2110_n/;под заказ
Датчик скорости вращения СЕНСОР ДКС-М30-81В-1113-ЛГ.02;8 368 руб.;"Страна происхождения:; Россия; Номинальный ток, А:; 0,4; Серия:; ДКС-М30; Диапазон измерения частоты, Гц:; 2-50; Индикация срабатывания:; есть; Регулировка частоты:; есть";https://sensoren.ru/product/datchik_skorosti_vrashcheniya_sensor_dks_m30_81v_1113_lg_02/;под заказ
Оптический датчик расстояния IFM Electronic O1D155;73 700 руб.;"Размер светового пятна, мм:; 8x8; Класс лазера:; 1; Диапазоны измерения расстояния:; 1 м ...< 10 м; Дальность измерения Min, м:; 0,3; Дальность измерения Max, м:; 6; Температура эксплуатации Max, °C:; 60";https://sensoren.ru/product/opticheskiy_datchik_rasstoyaniya_ifm_electronic_o1d155/;под заказ
Датчик скорости вращения СЕНСОР ДКС-М30-81В-1113-ЛА.01;7 523 руб.;"Страна происхождения:; Россия; Номинальный ток, А:; 0,4; Серия:; ДКС-М30; Диапазон измерения частоты, Гц:; 0,1-2,5; Индикация срабатывания:; есть; Регулировка частоты:; есть";https://sensoren.ru/product/datchik_skorosti_vrashcheniya_sensor_dks_m30_81v_1113_la_01/;под заказ
Ультразвуковой датчик SICK UM30-213113;84 900 руб.;"Страна происхождения:; Германия; Серия:; UM30; Температура эксплуатации Max, °C:; 70; Температура эксплуатации Min, °C:; -25; Размер резьбы корпуса:; M30";https://sensoren.ru/product/ultrazvukovoy_datchik_sick_um30_213113/;под заказ
Лазерный датчик расстояния Leuze Electronic ODSL 8/V66.01-500-S12;105 819 руб.;"Класс защиты:; 2; Размер светового пятна, мм:; 2x6; Число контактов, pin:; 5; Класс лазера:; 2; Серия:; 8; Источник излучения:; Лазер";https://sensoren.ru/product/lazernyy_datchik_rasstoyaniya_leuze_electronic_odsl_8_v66_01_500_s12/;под заказ
Лазерный датчик расстояния Wenglor OY2P303A0135;81 100 руб.;"Класс защиты:; 3; Число контактов, pin:; 4/5; Класс лазера:; 1; Источник излучения:; Лазер; Материал линзы:; PMMA; Время отклика, мс:; 0,5";https://sensoren.ru/product/lazernyy_datchik_rasstoyaniya_wenglor_oy2p303a0135/;под заказ
Оптический датчик IFM Electronic OID200;41 300 руб.;"Класс лазера:; 2; Длина корпуса, мм:; 100; Температура эксплуатации Max, °C:; 60; Температура эксплуатации Min, °C:; -25; Размер резьбы корпуса:; M30";https://sensoren.ru/product/opticheskiy_datchik_ifm_electronic_oid200/;под заказ
Оптический датчик расстояния LANBAO PDA-CC100TGIM;72 180 руб.;"Размер светового пятна, мм:; 3; Класс лазера:; 2; Страна происхождения:; Китай; Серия:; PDA; Диапазоны измерения расстояния:; < 1000 мм; Дальность измерения Max, м:; 1";https://sensoren.ru/product/opticheskiy_datchik_rasstoyaniya_lanbao_pda_cc100tgim/;в наличии
Датчик скорости вращения IFM Electronic DI5023;33 500 руб.;"Защита от перепутывания полярности:; да; Длина корпуса, мм:; 92,3; Температура эксплуатации Max, °C:; 80; Температура эксплуатации Min, °C:; -25; Размер резьбы корпуса:; M30";https://sensoren.ru/product/datchik_skorosti_vrashcheniya_ifm_electronic_di5023/;под заказ
Оптический датчик расстояния IFM Electronic O1D105;73 700 руб.;"Размер светового пятна, мм:; 15x15; Класс лазера:; 2; Диапазоны измерения расстояния:; 10 м ...< 20 м; Дальность измерения Min, м:; 0,2; Дальность измерения Max, м:; 11; Температура эксплуатации Max, °C:; 60";https://sensoren.ru/product/opticheskiy_datchik_rasstoyaniya_ifm_electronic_o1d105/;под заказ
Оптический датчик расстояния LANBAO PDA-CC50TGIM;62 920 руб.;"Размер светового пятна, мм:; 2,5; Класс лазера:; 2; Страна происхождения:; Китай; Серия:; PDA; Диапазоны измерения расстояния:; < 1000 мм; Дальность измерения Min, мм:; 80";https://sensoren.ru/product/opticheskiy_datchik_rasstoyaniya_lanbao_pda_cc50tgim/;в наличии
Индуктивный датчик LANBAO LR30XCF10ATCJ;10 750 руб.;"Страна происхождения:; Китай; Серия:; LR_J; Частота оборотов, об/мин:; 3-1200; Температура эксплуатации Max, °C:; 70; Температура эксплуатации Min, °C:; -25; Сертификат соответствия:; CE+EAC";https://sensoren.ru/product/induktivnyy_datchik_lanbao_lr30xcf10atcj/;в наличии
Индуктивный датчик LANBAO LR18XCN08DNOQ-E2;8 910 руб.;"Страна происхождения:; Китай; Серия:; LR; Длина корпуса, мм:; 73; Температура эксплуатации Max, °C:; 70; Температура эксплуатации Min, °C:; -25; Размер резьбы корпуса:; M18";https://sensoren.ru/product/induktivnyy_datchik_lanbao_lr18xcn08dnoq_e2/;под заказ
Индуктивный датчик LANBAO LR30XCF10DPCJ;10 280 руб.;"Страна происхождения:; Китай; Серия:; LR_J; Частота оборотов, об/мин:; 3-3000; Температура эксплуатации Max, °C:; 70; Температура эксплуатации Min, °C:; -25; Сертификат соответствия:; CE+EAC";https://sensoren.ru/product/induktivnyy_datchik_lanbao_lr30xcf10dpcj/;в наличии
Лазерный датчик расстояния Wenglor OY1P303P0102;132 400 руб.;"Класс защиты:; 3; Число контактов, pin:; 4; Класс лазера:; 1; Источник излучения:; Лазер; Материал линзы:; PMMA; Диапазоны измерения расстояния:; 1 м ...< 10 м";https://sensoren.ru/product/lazernyy_datchik_rasstoyaniya_wenglor_oy1p303p0102/;под заказ
Датчик скорости вращения СЕНСОР ДКС-М30-81С-1251-ЛА.02;9 692 руб.;"Страна происхождения:; Россия; Номинальный ток, А:; 0,25; Серия:; ДКС-М30; Диапазон измерения частоты, Гц:; 2-50; Индикация срабатывания:; есть; Регулировка частоты:; есть";https://sensoren.ru/product/datchik_skorosti_vrashcheniya_sensor_dks_m30_81s_1251_la_02/;под заказ
Датчик скорости вращения СЕНСОР ДКС-М30-81С-1113-ЛА.01;8 653 руб.;"Страна происхождения:; Россия; Номинальный ток, А:; 0,4; Серия:; ДКС-М30; Диапазон измерения частоты, Гц:; 0,1-2,5; Индикация срабатывания:; есть; Регулировка частоты:; есть";https://sensoren.ru/product/datchik_skorosti_vrashcheniya_sensor_dks_m30_81s_1113_la_01/;под заказ
Индуктивный датчик расстояния IFM Electronic IG6084;20 100 руб.;"Длина корпуса, мм:; 60; Температура эксплуатации Max, °C:; 80; Температура эксплуатации Min, °C:; -25; Размер резьбы корпуса:; M18";https://sensoren.ru/product/induktivnyy_datchik_rasstoyaniya_ifm_electronic_ig6084/;под заказ
Индуктивный датчик расстояния СЕНСОР ДПА-М30-91В-2110-Н;8 117 руб.;"Исполнение:; Датчик может быть с длиной кабеля 3, 5 или 7 м; Страна происхождения:; Россия; Серия:; ДПА-М30; Температура эксплуатации Max, °C:; 80; Температура эксплуатации Min, °C:; -25; Размер резьбы корпуса:; M30";https://sensoren.ru/product/induktivnyy_datchik_rasstoyaniya_sensor_dpa_m30_91v_2110_n/;под заказ
Оптический датчик расстояния LANBAO PDB-CC10TGI;30 550 руб.;"Размер светового пятна, мм:; 1x3; Класс лазера:; 2; Страна происхождения:; Китай; Серия:; PDB; Время отклика, мс:; 2/16/40; Потребляемая мощность, Вт:; 0,7";https://sensoren.ru/product/opticheskiy_datchik_rasstoyaniya_lanbao_pdb_cc10tgi/;в наличии
Лазерный датчик расстояния Leuze Electronic ODS9L2.8/LAK-450-M12;144 867 руб.;"Класс защиты:; 3; Размер светового пятна, мм:; 1; Число контактов, pin:; 5; Класс лазера:; 2; Серия:; 9; Источник излучения:; Лазер";https://sensoren.ru/product/lazernyy_datchik_rasstoyaniya_leuze_electronic_ods9l2_8_lak_450_m12/;под заказ
Оптический датчик смещения LANBAO PDA-CR85DGRM;59 840 руб.;"Размер светового пятна, мм:; 0,5; Класс лазера:; 2; Страна происхождения:; Китай; Серия:; PDA; Диапазоны измерения расстояния:; < 1000 мм; Дальность измерения Min, мм:; 60";https://sensoren.ru/product/opticheskiy_datchik_smeshcheniya_lanbao_pda_cr85dgrm/;в наличии
Индуктивный датчик расстояния LANBAO LR18XCF05LIUM-E2;6 390 руб.;"Число контактов, pin:; 4; Страна происхождения:; Китай; Серия:; LR_M; Длина корпуса, мм:; 73; Температура эксплуатации Max, °C:; 70; Температура эксплуатации Min, °C:; -25";https://sensoren.ru/product/induktivnyy_datchik_rasstoyaniya_lanbao_lr18xcf05lium_e2/;в наличии
Датчик скорости вращения СЕНСОР ДКС-М30-81В-1252-ЛА.02;8 491 руб.;"Страна происхождения:; Россия; Номинальный ток, А:; 0,25; Серия:; ДКС-М30; Диапазон измерения частоты, Гц:; 2-50; Индикация срабатывания:; есть; Регулировка частоты:; есть";https://sensoren.ru/product/datchik_skorosti_vrashcheniya_sensor_dks_m30_81v_1252_la_02/;под заказ
Оптический датчик смещения LANBAO PDA-CR30TGI;45 960 руб.;"Размер светового пятна, мм:; 0,5; Класс лазера:; 2; Страна происхождения:; Китай; Серия:; PDA; Диапазоны измерения расстояния:; < 1000 мм; Дальность измерения Min, мм:; 25";https://sensoren.ru/product/opticheskiy_datchik_smeshcheniya_lanbao_pda_cr30tgi/;в наличии
Датчик скорости вращения IFM Electronic MX5050;12 700 руб.;"Длина корпуса, мм:; 60; Температура эксплуатации Max, °C:; 85; Температура эксплуатации Min, °C:; -32; Размер цилиндрического корпуса, мм:; 15";https://sensoren.ru/product/datchik_skorosti_vrashcheniya_ifm_electronic_mx5050/;под заказ
Датчик скорости вращения СЕНСОР ДКС-М30-81В-1252-ЛГ.02;9 482 руб.;"Страна происхождения:; Россия; Номинальный ток, А:; 0,25; Серия:; ДКС-М30; Диапазон измерения частоты, Гц:; 2-50; Индикация срабатывания:; есть; Регулировка частоты:; есть";https://sensoren.ru/product/datchik_skorosti_vrashcheniya_sensor_dks_m30_81v_1252_lg_02/;под заказ
Индуктивный датчик линейных перемещений Pepperl Fuchs PMI120-F90-IU-V1;83 100 руб.;"Серия:; F90; Разрешение, мкм:; 125; Температура эксплуатации Max, °C:; 70; Температура эксплуатации Min, °C:; -25";https://sensoren.ru/product/induktivnyy_datchik_lineynykh_peremeshcheniy_pepperl_fuchs_pmi120_f90_iu_v1/;под заказ
Ультразвуковой датчик расстояния Microsonic crm+130/IU/TC/E;110 500 руб.;"Разрешение, мм:; 0,18; Число контактов, pin:; 5; Серия:; CRM; Температура эксплуатации Max, °C:; 70; Температура эксплуатации Min, °C:; -25; Мультиплекс:; да";https://sensoren.ru/product/ultrazvukovoy_datchik_rasstoyaniya_microsonic_crm_130_iu_tc_e/;под заказ
Датчик скорости вращения СЕНСОР ДКС-М30-81С-1251-ЛГ.02;10 250 руб.;"Страна происхождения:; Россия; Номинальный ток, А:; 0,25; Серия:; ДКС-М30; Диапазон измерения частоты, Гц:; 2-50; Индикация срабатывания:; есть; Регулировка частоты:; есть";https://sensoren.ru/product/datchik_skorosti_vrashcheniya_sensor_dks_m30_81s_1251_lg_02/;под заказ
Лазерный датчик расстояния SICK DT500-A111;327 470 руб.;"Размер светового пятна, мм:; 10 x 45 x 100; Класс лазера:; 2; Страна происхождения:; Германия; Серия:; Dx500; Диапазоны измерения расстояния:; 20 м ...< 50 м; Дальность измерения Min, м:; 0,2";https://sensoren.ru/product/lazernyy_datchik_rasstoyaniya_sick_dt500_a111/;под заказ
Ультразвуковой датчик SICK UM30-213118;84 900 руб.;"Страна происхождения:; Германия; Серия:; UM30; Температура эксплуатации Max, °C:; 70; Температура эксплуатации Min, °C:; -25; Размер резьбы корпуса:; M30";https://sensoren.ru/product/ultrazvukovoy_datchik_sick_um30_213118/;под заказ
Датчик скорости вращения IFM Electronic DI5022;38 500 руб.;"Защита от перепутывания полярности:; да; Длина корпуса, мм:; 80; Температура эксплуатации Max, °C:; 80; Температура эксплуатации Min, °C:; -25; Размер резьбы корпуса:; M30";https://sensoren.ru/product/datchik_skorosti_vrashcheniya_ifm_electronic_di5022/;под заказ
Оптический датчик расстояния LANBAO PDA-CC50DGRM;62 920 руб.;"Размер светового пятна, мм:; 2,5; Класс лазера:; 2; Страна происхождения:; Китай; Серия:; PDA; Диапазоны измерения расстояния:; < 1000 мм; Дальность измерения Min, мм:; 80";https://sensoren.ru/product/opticheskiy_datchik_rasstoyaniya_lanbao_pda_cc50dgrm/;под заказ
Лазерный датчик расстояния SICK DT50-2B215252;144 030 руб.;"Размер светового пятна, мм:; 10 x 10; Класс лазера:; 2; Страна происхождения:; Германия; Серия:; Dx502; Диапазоны измерения расстояния:; 20 м ...< 50 м; Дальность измерения Min, м:; 0,2";https://sensoren.ru/product/lazernyy_datchik_rasstoyaniya_sick_dt50_2b215252/;под заказ
Ультразвуковой датчик расстояния Microsonic hps+130/DIU/TC/E/G1;125 900 руб.;"Разрешение, мм:; 1,5; Число контактов, pin:; 5; Серия:; HPS; Температура эксплуатации Max, °C:; 70; Температура эксплуатации Min, °C:; -25; Мультиплекс:; да";https://sensoren.ru/product/ultrazvukovoy_datchik_rasstoyaniya_microsonic_hps_130_diu_tc_e_g1/;под заказ
Индуктивный датчик линейных перемещений Pepperl Fuchs PMI80-F90-IU-V1;73 100 руб.;"Серия:; F90; Разрешение, мкм:; 125; Температура эксплуатации Max, °C:; 70; Температура эксплуатации Min, °C:; -25";https://sensoren.ru/product/induktivnyy_datchik_lineynykh_peremeshcheniy_pepperl_fuchs_pmi80_f90_iu_v1/;под заказ
Датчик скорости вращения IFM Electronic MX5000;12 700 руб.;"Длина корпуса, мм:; 70";https://sensoren.ru/product/datchik_skorosti_vrashcheniya_ifm_electronic_mx5000/;под заказ
Оптический датчик расстояния LANBAO PDB-CM8TGI;30 550 руб.;;https://sensoren.ru/product/opticheskiy_datchik_rasstoyaniya_lanbao_pdb_cm8tgi/;в наличии
Оптический датчик расстояния IFM Electronic O1D100;43 900 руб.;;https://sensoren.ru/product/opticheskiy_datchik_rasstoyaniya_ifm_electronic_o1d100/;в наличии
Оптический датчик расстояния LANBAO PDB-CM8TGU;30 550 руб.;;https://sensoren.ru/product/opticheskiy_datchik_rasstoyaniya_lanbao_pdb_cm8tgu/;в наличии
Оптический датчик расстояния LANBAO PDB-CC50TGI;30 550 руб.;;https://sensoren.ru/product/opticheskiy_datchik_rasstoyaniya_lanbao_pdb_cc50tgi/;в наличии
Датчик скорости вращения IFM Electronic DI602A;;;https://sensoren.ru/product/datchik_skorosti_vrashcheniya_ifm_electronic_di602a/;под заказ
;;;https://sensoren.ru/product/datchik_skorosti_vrashcheniya_sensor_dks_m30_81s_1113_lg_01/;
;;;https://sensoren.ru/product/opticheskiy_datchik_rasstoyaniya_lanbao_pda_cc100tgi/;
;;;https://sensoren.ru/product/datchik_skorosti_vrashcheniya_ifm_electronic_di0101/;
;;;https://sensoren.ru/product/opticheskiy_datchik_rasstoyaniya_lanbao_pda_cc50tgi/;
;;;https://sensoren.ru/product/magnitostriktsionnye-datchiki-lineynykh-peremeshcheniy-mts-sensors-temposonics-rh/;
;;;https://sensoren.ru/product/opticheskiy_datchik_rasstoyaniya_ifm_electronic_o5d100/;
;;;https://sensoren.ru/product/datchik_skorosti_vrashcheniya_ifm_electronic_di5020/;
Датчик скорости вращения СЕНСОР ДКС-М30-81В-1113-ЛА.02;8 327 руб.;"Страна происхождения:; Россия; Номинальный ток, А:; 0,4; Серия:; ДКС-М30; Диапазон измерения частоты, Гц:; 2-50; Индикация срабатывания:; есть; Регулировка частоты:; есть";https://sensoren.ru/product/datchik_skorosti_vrashcheniya_sensor_dks_m30_81v_1113_la_02/;под заказ
Датчик скорости вращения ТЕКО IV21B AF81A5-02G-10-L;6 690 руб.;"Страна происхождения:; Россия; Серия:; IV; Длина корпуса, мм:; 100; Температура эксплуатации Max, °C:; 75; Температура эксплуатации Min, °C:; -25; Размер резьбы корпуса:; M30";https://sensoren.ru/product/datchik_skorosti_vrashcheniya_teko_iv21b_af81a5_02g_10_l/;под заказ
Датчик скорости вращения IFM Electronic DI520A;38 600 руб.;"Длина корпуса, мм:; 80; Температура эксплуатации Max, °C:; 60; Температура эксплуатации Min, °C:; -20; Размер резьбы корпуса:; M30";https://sensoren.ru/product/datchik_skorosti_vrashcheniya_ifm_electronic_di520a/;под заказ
Оптический датчик расстояния LANBAO PDA-CC10DGRM;55 220 руб.;"Размер светового пятна, мм:; 1x3; Класс лазера:; 2; Страна происхождения:; Китай; Серия:; PDA; Диапазоны измерения расстояния:; < 1000 мм; Дальность измерения Min, мм:; 3";https://sensoren.ru/product/opticheskiy_datchik_rasstoyaniya_lanbao_pda_cc10dgrm/;в наличии
Датчик скорости вращения IFM Electronic DI103A;40 600 руб.;"Длина корпуса, мм:; 80; Размер резьбы корпуса:; M30";https://sensoren.ru/product/datchik_skorosti_vrashcheniya_ifm_electronic_di103a/;под заказ
Оптический датчик IFM Electronic OID201;41 300 руб.;"Длина корпуса, мм:; 100; Температура эксплуатации Max, °C:; 60; Температура эксплуатации Min, °C:; -25; Размер резьбы корпуса:; M30";https://sensoren.ru/product/opticheskiy_datchik_ifm_electronic_oid201/;под заказ
Индуктивный датчик расстояния IFM Electronic IG6083;20 300 руб.;"Длина корпуса, мм:; 60; Температура эксплуатации Max, °C:; 80; Температура эксплуатации Min, °C:; -25; Размер резьбы корпуса:; M18";https://sensoren.ru/product/induktivnyy_datchik_rasstoyaniya_ifm_electronic_ig6083/;под заказ
Индуктивный датчик расстояния LANBAO LR12XCN04LIUM-E2;6 590 руб.;"Число контактов, pin:; 4; Страна происхождения:; Китай; Серия:; LR_M; Длина корпуса, мм:; 73; Температура эксплуатации Max, °C:; 70; Температура эксплуатации Min, °C:; -25";https://sensoren.ru/product/induktivnyy_datchik_rasstoyaniya_lanbao_lr12xcn04lium_e2/;в наличии
Ультразвуковой датчик Pepperl Fuchs UC2000-L2-I-V15;96 200 руб.;"Серия:; UC; Температура эксплуатации Max, °C:; 70; Температура эксплуатации Min, °C:; -25";https://sensoren.ru/product/ultrazvukovoy_datchik_pepperl_fuchs_uc2000_l2_i_v15/;под заказ
Датчик скорости вращения СЕНСОР ДКС-М30-81С-1252-ЛГ.02;10 031 руб.;"Страна происхождения:; Россия; Номинальный ток, А:; 0,25; Серия:; ДКС-М30; Диапазон измерения частоты, Гц:; 2-50; Индикация срабатывания:; есть; Регулировка частоты:; есть";https://sensoren.ru/product/datchik_skorosti_vrashcheniya_sensor_dks_m30_81s_1252_lg_02/;под заказ
Оптический датчик расстояния IFM Electronic O1D108;76 600 руб.;"Размер светового пятна, мм:; 25x25; Класс лазера:; 2; Диапазоны измерения расстояния:; 10 м ...< 20 м; Дальность измерения Min, м:; 0,2; Дальность измерения Max, м:; 18; Температура эксплуатации Max, °C:; 60";https://sensoren.ru/product/opticheskiy_datchik_rasstoyaniya_ifm_electronic_o1d108/;под заказ
