name,price,info,link
Индуктивные датчики Balluff BAW с аналоговым выходом,Уточнить цену,Код товара; Balluff BAW; Комплектация; В комплектацию не входят: ответные разъемы для подключения в систему; Питание; DC; Температура эксплуатации; -10.. 70 °C,https://balluff-rus.ru/catalog/induktivnye_datchiki_rasstoyaniya/induktivnye_datchiki_balluff_baw_s_analogovym_vykhodom/
Индуктивный датчик расстояния Balluff BAW Z01AC-UAD50B-DP05-K,Уточнить цену,"Артикул; BAW Z01AC-UAD50B-DP05-K; Код товара; BAW003F; Срок поставки; 4-6 недель; Аналоговый выход по напряжению, В; 0...10",https://balluff-rus.ru/catalog/induktivnye_datchiki_rasstoyaniya/induktivnyy_datchik_rasstoyaniya_balluff_baw_z01ac_uad50b_dp05_k/
Индуктивный датчик расстояния Balluff BAW G06EF-UAC20B-S49G,Уточнить цену,"Артикул; BAW G06EF-UAC20B-S49G; Код товара; BAW000L; Срок поставки; 4-6 недель; Аналоговый выход по напряжению, В; 0...10",https://balluff-rus.ru/catalog/induktivnye_datchiki_rasstoyaniya/induktivnyy_datchik_rasstoyaniya_balluff_baw_g06ef_uac20b_s49g/
"Индуктивный датчик расстояния Balluff BAW M08EI-UAD15B-BP01,5-GS04",Уточнить цену,"Артикул; BAW M08EI-UAD15B-BP01,5-GS04; Код товара; BAW000R; Срок поставки; 4-6 недель; Аналоговый выход по напряжению, В; 0...10",https://balluff-rus.ru/catalog/induktivnye_datchiki_rasstoyaniya/induktivnyy_datchik_rasstoyaniya_balluff_baw_m08ei_uad15b_bp01_5_gs04/
Индуктивный датчик расстояния Balluff BAW M08EI-UAD15B-BP05,Уточнить цену,"Артикул; BAW M08EI-UAD15B-BP05; Код товара; BAW000U; Срок поставки; 4-6 недель; Аналоговый выход по напряжению, В; 0...10",https://balluff-rus.ru/catalog/induktivnye_datchiki_rasstoyaniya/induktivnyy_datchik_rasstoyaniya_balluff_baw_m08ei_uad15b_bp05/
Индуктивный датчик расстояния Balluff BAW M12ME-ICC35C-S04G,Уточнить цену,"Артикул; BAW M12ME-ICC35C-S04G; Код товара; BAW0055; Срок поставки; 4-6 недель; Аналоговый выход по току, мА; 4...20",https://balluff-rus.ru/catalog/induktivnye_datchiki_rasstoyaniya/induktivnyy_datchik_rasstoyaniya_balluff_baw_m12me_icc35c_s04g/
Индуктивный датчик расстояния Balluff BAW M12ME-UAD50B-BP01,Уточнить цену,"Артикул; BAW M12ME-UAD50B-BP01; Код товара; BAW0011; Срок поставки; 4-6 недель; Аналоговый выход по напряжению, В; 0...10",https://balluff-rus.ru/catalog/induktivnye_datchiki_rasstoyaniya/induktivnyy_datchik_rasstoyaniya_balluff_baw_m12me_uad50b_bp01/
"Индуктивный датчик расстояния Balluff BAW M12MF2-UAC40F-BP00,5-GS04",Уточнить цену,"Артикул; BAW M12MF2-UAC40F-BP00,5-GS04; Код товара; BAW0015; Срок поставки; 4-6 недель; Аналоговый выход по напряжению, В; 0...10",https://balluff-rus.ru/catalog/induktivnye_datchiki_rasstoyaniya/induktivnyy_datchik_rasstoyaniya_balluff_baw_m12mf2_uac40f_bp00_5_gs04/
"Индуктивный датчик расстояния Balluff BAW M12MF2-UAC40F-BP01,5-GS04",Уточнить цену,"Артикул; BAW M12MF2-UAC40F-BP01,5-GS04; Код товара; BAW0016; Срок поставки; 4-6 недель; Аналоговый выход по напряжению, В; 0...10",https://balluff-rus.ru/catalog/induktivnye_datchiki_rasstoyaniya/induktivnyy_datchik_rasstoyaniya_balluff_baw_m12mf2_uac40f_bp01_5_gs04/
Индуктивный датчик расстояния Balluff BAW M12MF2-UAC40F-BP05,Уточнить цену,"Артикул; BAW M12MF2-UAC40F-BP05; Код товара; BAW0018; Срок поставки; 4-6 недель; Аналоговый выход по напряжению, В; 0...10",https://balluff-rus.ru/catalog/induktivnye_datchiki_rasstoyaniya/induktivnyy_datchik_rasstoyaniya_balluff_baw_m12mf2_uac40f_bp05/
Индуктивный датчик расстояния Balluff BAW M12MF-ICC70G-BP02,Уточнить цену,"Артикул; BAW M12MF-ICC70G-BP02; Код товара; BAW004T; Срок поставки; 4-6 недель; Аналоговый выход по току, мА; 4...20",https://balluff-rus.ru/catalog/induktivnye_datchiki_rasstoyaniya/induktivnyy_datchik_rasstoyaniya_balluff_baw_m12mf_icc70g_bp02/
"Индуктивный датчик расстояния Balluff BAW M12MG2-UAC20B-BP00,2-GS04",Уточнить цену,"Артикул; BAW M12MG2-UAC20B-BP00,2-GS04; Код товара; BAW001J; Срок поставки; 4-6 недель; Аналоговый выход по напряжению, В; 0...10",https://balluff-rus.ru/catalog/induktivnye_datchiki_rasstoyaniya/induktivnyy_datchik_rasstoyaniya_balluff_baw_m12mg2_uac20b_bp00_2_gs04/
"Индуктивный датчик расстояния Balluff BAW M18ME-UAC48B-BP01,5-GS04",Уточнить цену,"Артикул; BAW M18ME-UAC48B-BP01,5-GS04; Код товара; BAW001Y; Срок поставки; 4-6 недель; Аналоговый выход по напряжению, В; 0...10",https://balluff-rus.ru/catalog/induktivnye_datchiki_rasstoyaniya/induktivnyy_datchik_rasstoyaniya_balluff_baw_m18me_uac48b_bp01_5_gs04/
"Индуктивный датчик расстояния Balluff BAW M18ME-UAC50B-BP01,5-GS04",Уточнить цену,"Артикул; BAW M18ME-UAC50B-BP01,5-GS04; Код товара; BAW0021; Срок поставки; 4-6 недель; Аналоговый выход по напряжению, В; 0...10",https://balluff-rus.ru/catalog/induktivnye_datchiki_rasstoyaniya/induktivnyy_datchik_rasstoyaniya_balluff_baw_m18me_uac50b_bp01_5_gs04/
Индуктивный датчик расстояния Balluff BAW M18ME-UAC50B-BP05,Уточнить цену,"Артикул; BAW M18ME-UAC50B-BP05; Код товара; BAW0023; Срок поставки; 4-6 недель; Аналоговый выход по напряжению, В; 0...10",https://balluff-rus.ru/catalog/induktivnye_datchiki_rasstoyaniya/induktivnyy_datchik_rasstoyaniya_balluff_baw_m18me_uac50b_bp05/
Индуктивный датчик расстояния Balluff BAW M18MG-UAC80F-S04G,Уточнить цену,"Артикул; BAW M18MG-UAC80F-S04G; Код товара; BAW002C; Срок поставки; 4-6 недель; Аналоговый выход по напряжению, В; 0...10",https://balluff-rus.ru/catalog/induktivnye_datchiki_rasstoyaniya/induktivnyy_datchik_rasstoyaniya_balluff_baw_m18mg_uac80f_s04g/
Индуктивный датчик расстояния Balluff BAW M18MI2-UAC50B-BP05-002,Уточнить цену,"Артикул; BAW M18MI2-UAC50B-BP05-002; Код товара; BAW002M; Срок поставки; 4-6 недель; Аналоговый выход по напряжению, В; 0...10",https://balluff-rus.ru/catalog/induktivnye_datchiki_rasstoyaniya/induktivnyy_datchik_rasstoyaniya_balluff_baw_m18mi2_uac50b_bp05_002/
Индуктивный датчик расстояния Balluff BAW M30ME-UAC15F-S04G,Уточнить цену,"Артикул; BAW M30ME-UAC15F-S04G; Код товара; BAW002Y; Срок поставки; 4-6 недель; Аналоговый выход по напряжению, В; 0...10",https://balluff-rus.ru/catalog/induktivnye_datchiki_rasstoyaniya/induktivnyy_datchik_rasstoyaniya_balluff_baw_m30me_uac15f_s04g/
"Индуктивный датчик расстояния Balluff BAW R03KC-UAE40B-BP00,3-GS26",Уточнить цену,"Артикул; BAW R03KC-UAE40B-BP00,3-GS26; Код товара; BAW0030; Срок поставки; 4-6 недель; Аналоговый выход по напряжению, В; 0...10",https://balluff-rus.ru/catalog/induktivnye_datchiki_rasstoyaniya/induktivnyy_datchik_rasstoyaniya_balluff_baw_r03kc_uae40b_bp00_3_gs26/
Индуктивный датчик расстояния Balluff BAW Z01AC-UAD50B-DP03-K,Уточнить цену,"Артикул; BAW Z01AC-UAD50B-DP03-K; Код товара; BAW003E; Срок поставки; 4-6 недель; Аналоговый выход по напряжению, В; 0...10",https://balluff-rus.ru/catalog/induktivnye_datchiki_rasstoyaniya/induktivnyy_datchik_rasstoyaniya_balluff_baw_z01ac_uad50b_dp03_k/
"Индуктивный датчик расстояния Balluff BAW M08EI-UAD15B-BP00,5-GS04",Уточнить цену,"Артикул; BAW M08EI-UAD15B-BP00,5-GS04; Код товара; BAW000P; Срок поставки; 4-6 недель; Аналоговый выход по напряжению, В; 0...10",https://balluff-rus.ru/catalog/induktivnye_datchiki_rasstoyaniya/induktivnyy_datchik_rasstoyaniya_balluff_baw_m08ei_uad15b_bp00_5_gs04/
Индуктивный датчик расстояния Balluff BAW M08EI-UAD15B-BP03,Уточнить цену,"Артикул; BAW M08EI-UAD15B-BP03; Код товара; BAW000T; Срок поставки; 4-6 недель; Аналоговый выход по напряжению, В; 0...10",https://balluff-rus.ru/catalog/induktivnye_datchiki_rasstoyaniya/induktivnyy_datchik_rasstoyaniya_balluff_baw_m08ei_uad15b_bp03/
Индуктивный датчик расстояния Balluff BAW M12MD-UAC70G-S04G,Уточнить цену,"Артикул; BAW M12MD-UAC70G-S04G; Код товара; BAW004J; Срок поставки; 4-6 недель; Аналоговый выход по напряжению, В; 0...10",https://balluff-rus.ru/catalog/induktivnye_datchiki_rasstoyaniya/induktivnyy_datchik_rasstoyaniya_balluff_baw_m12md_uac70g_s04g/
Индуктивный датчик расстояния Balluff BAW M12ME-UAC70G-S04G,Уточнить цену,"Артикул; BAW M12ME-UAC70G-S04G; Код товара; BAW004H; Срок поставки; 4-6 недель; Аналоговый выход по напряжению, В; 0...10",https://balluff-rus.ru/catalog/induktivnye_datchiki_rasstoyaniya/induktivnyy_datchik_rasstoyaniya_balluff_baw_m12me_uac70g_s04g/
Индуктивный датчик расстояния Balluff BAW M12MF2-UAC40F-BP03,Уточнить цену,"Артикул; BAW M12MF2-UAC40F-BP03; Код товара; BAW0017; Срок поставки; 4-6 недель; Аналоговый выход по напряжению, В; 0...10",https://balluff-rus.ru/catalog/induktivnye_datchiki_rasstoyaniya/induktivnyy_datchik_rasstoyaniya_balluff_baw_m12mf2_uac40f_bp03/
"Индуктивный датчик расстояния Balluff BAW M12MG2-IAC20B-BP00,2-GS04",Уточнить цену,"Артикул; BAW M12MG2-IAC20B-BP00,2-GS04; Код товара; BAW0019; Срок поставки; 4-6 недель; Аналоговый выход по току, мА; 0...20",https://balluff-rus.ru/catalog/induktivnye_datchiki_rasstoyaniya/induktivnyy_datchik_rasstoyaniya_balluff_baw_m12mg2_iac20b_bp00_2_gs04/
Индуктивный датчик расстояния Balluff BAW M12MG2-UAC20B-BP03,Уточнить цену,"Артикул; BAW M12MG2-UAC20B-BP03; Код товара; BAW001L; Срок поставки; 4-6 недель; Аналоговый выход по напряжению, В; 0...10",https://balluff-rus.ru/catalog/induktivnye_datchiki_rasstoyaniya/induktivnyy_datchik_rasstoyaniya_balluff_baw_m12mg2_uac20b_bp03/
Индуктивный датчик расстояния Balluff BAW M12MH1-ICC40F-S04G,Уточнить цену,"Артикул; BAW M12MH1-ICC40F-S04G; Код товара; BAW003N; Срок поставки; 4-6 недель; Аналоговый выход по току, мА; 4...20",https://balluff-rus.ru/catalog/induktivnye_datchiki_rasstoyaniya/induktivnyy_datchik_rasstoyaniya_balluff_baw_m12mh1_icc40f_s04g/
Индуктивный датчик расстояния Balluff BAW M12MI-ICC35C-S04G,Уточнить цену,"Артикул; BAW M12MI-ICC35C-S04G; Код товара; BAW004U; Срок поставки; 4-6 недель; Аналоговый выход по току, мА; 4...20",https://balluff-rus.ru/catalog/induktivnye_datchiki_rasstoyaniya/induktivnyy_datchik_rasstoyaniya_balluff_baw_m12mi_icc35c_s04g/
Индуктивный датчик расстояния Balluff BAW M12MI-UAC20B-S04G,Уточнить цену,"Артикул; BAW M12MI-UAC20B-S04G; Код товара; BAW001P; Срок поставки; 4-6 недель; Аналоговый выход по напряжению, В; 0...10",https://balluff-rus.ru/catalog/induktivnye_datchiki_rasstoyaniya/induktivnyy_datchik_rasstoyaniya_balluff_baw_m12mi_uac20b_s04g/
Индуктивный датчик расстояния Balluff BAW M18ME-ICC50B-S04G,Уточнить цену,"Артикул; BAW M18ME-ICC50B-S04G; Код товара; BAW001U; Срок поставки; 4-6 недель; Аналоговый выход по току, мА; 4...20",https://balluff-rus.ru/catalog/induktivnye_datchiki_rasstoyaniya/induktivnyy_datchik_rasstoyaniya_balluff_baw_m18me_icc50b_s04g/
"Индуктивный датчик расстояния Balluff BAW M18ME-UAC48B-BP01,5-GS04-003",Уточнить цену,"Артикул; BAW M18ME-UAC48B-BP01,5-GS04-003; Код товара; BAW003T; Срок поставки; 4-6 недель; Аналоговый выход по напряжению, В; 0...10",https://balluff-rus.ru/catalog/induktivnye_datchiki_rasstoyaniya/induktivnyy_datchik_rasstoyaniya_balluff_baw_m18me_uac48b_bp01_5_gs04_003/
"Индуктивный датчик расстояния Balluff BAW M18ME-UAC50B-BP00,2-GS49",Уточнить цену,"Артикул; BAW M18ME-UAC50B-BP00,2-GS49; Код товара; BAW0020; Срок поставки; 4-6 недель; Аналоговый выход по напряжению, В; 0...10",https://balluff-rus.ru/catalog/induktivnye_datchiki_rasstoyaniya/induktivnyy_datchik_rasstoyaniya_balluff_baw_m18me_uac50b_bp00_2_gs49/
Индуктивный датчик расстояния Balluff BAW M18ME-UAC50B-BP03,Уточнить цену,"Артикул; BAW M18ME-UAC50B-BP03; Код товара; BAW0022; Срок поставки; 4-6 недель; Аналоговый выход по напряжению, В; 0...10",https://balluff-rus.ru/catalog/induktivnye_datchiki_rasstoyaniya/induktivnyy_datchik_rasstoyaniya_balluff_baw_m18me_uac50b_bp03/
Индуктивный датчик расстояния Balluff BAW M18ME-UAC50B-S04G,Уточнить цену,"Артикул; BAW M18ME-UAC50B-S04G; Код товара; BAW0025; Срок поставки; 4-6 недель; Аналоговый выход по напряжению, В; 0...10",https://balluff-rus.ru/catalog/induktivnye_datchiki_rasstoyaniya/induktivnyy_datchik_rasstoyaniya_balluff_baw_m18me_uac50b_s04g/
Индуктивный датчик расстояния Balluff BAW M18ME-UAE50B-S04G-K,Уточнить цену,"Артикул; BAW M18ME-UAE50B-S04G-K; Код товара; BAW0026; Срок поставки; 4-6 недель; Аналоговый выход по напряжению, В; 0...10",https://balluff-rus.ru/catalog/induktivnye_datchiki_rasstoyaniya/induktivnyy_datchik_rasstoyaniya_balluff_baw_m18me_uae50b_s04g_k/
"Индуктивный датчик расстояния Balluff BAW M18ME-UDC40B-BP00,1-GS49",Уточнить цену,"Артикул; BAW M18ME-UDC40B-BP00,1-GS49; Код товара; BAW0027; Срок поставки; 4-6 недель; Аналоговый выход по напряжению, В; 1...9",https://balluff-rus.ru/catalog/induktivnye_datchiki_rasstoyaniya/induktivnyy_datchik_rasstoyaniya_balluff_baw_m18me_udc40b_bp00_1_gs49/
Индуктивный датчик расстояния Balluff BAW M18MI-ICC50B-S04G,Уточнить цену,"Артикул; BAW M18MI-ICC50B-S04G; Код товара; BAW002J; Срок поставки; 4-6 недель; Аналоговый выход по току, мА; 4...20",https://balluff-rus.ru/catalog/induktivnye_datchiki_rasstoyaniya/induktivnyy_datchik_rasstoyaniya_balluff_baw_m18mi_icc50b_s04g/
Индуктивный датчик расстояния Balluff BAW M18MI-UAC50B-S04G,Уточнить цену,"Артикул; BAW M18MI-UAC50B-S04G; Код товара; BAW002K; Срок поставки; 4-6 недель; Аналоговый выход по напряжению, В; 0...10",https://balluff-rus.ru/catalog/induktivnye_datchiki_rasstoyaniya/induktivnyy_datchik_rasstoyaniya_balluff_baw_m18mi_uac50b_s04g/
Индуктивный датчик расстояния Balluff BAW M30ME-UAC10B-S04G,Уточнить цену,"Артикул; BAW M30ME-UAC10B-S04G; Код товара; BAW002W; Срок поставки; 4-6 недель; Аналоговый выход по напряжению, В; 0...10",https://balluff-rus.ru/catalog/induktivnye_datchiki_rasstoyaniya/induktivnyy_datchik_rasstoyaniya_balluff_baw_m30me_uac10b_s04g/
Индуктивный датчик расстояния Balluff BAW MKK-050.19-S4,Уточнить цену,"Артикул; BAW MKK-050.19-S4; Код товара; BAW003K; Срок поставки; 4-6 недель; Аналоговый выход по напряжению, В; 0...10",https://balluff-rus.ru/catalog/induktivnye_datchiki_rasstoyaniya/induktivnyy_datchik_rasstoyaniya_balluff_baw_mkk_050_19_s4/
Индуктивный датчик расстояния Balluff BAW MKV-020.19-S4,Уточнить цену,"Артикул; BAW MKV-020.19-S4; Код товара; BAW003L; Срок поставки; 4-6 недель; Аналоговый выход по напряжению, В; 10...0",https://balluff-rus.ru/catalog/induktivnye_datchiki_rasstoyaniya/induktivnyy_datchik_rasstoyaniya_balluff_baw_mkv_020_19_s4/
Индуктивный датчик расстояния Balluff BAW MKZ-471.19-S4,Уточнить цену,"Артикул; BAW MKZ-471.19-S4; Код товара; BAW003M; Срок поставки; 4-6 недель; Аналоговый выход по напряжению, В; 0...10",https://balluff-rus.ru/catalog/induktivnye_datchiki_rasstoyaniya/induktivnyy_datchik_rasstoyaniya_balluff_baw_mkz_471_19_s4/
"Индуктивный датчик расстояния Balluff BAW R03KC-UAE40B-BP00,3-GS49",Уточнить цену,"Артикул; BAW R03KC-UAE40B-BP00,3-GS49; Код товара; BAW0031; Срок поставки; 4-6 недель; Аналоговый выход по напряжению, В; 0...10",https://balluff-rus.ru/catalog/induktivnye_datchiki_rasstoyaniya/induktivnyy_datchik_rasstoyaniya_balluff_baw_r03kc_uae40b_bp00_3_gs49/
Индуктивный датчик расстояния Balluff BAW R06AC-UAF20B-S49G,Уточнить цену,"Артикул; BAW R06AC-UAF20B-S49G; Код товара; BAW0034; Срок поставки; 4-6 недель; Аналоговый выход по напряжению, В; 0...10",https://balluff-rus.ru/catalog/induktivnye_datchiki_rasstoyaniya/induktivnyy_datchik_rasstoyaniya_balluff_baw_r06ac_uaf20b_s49g/
Индуктивный датчик расстояния Balluff BAW Z08EO-UAD20B-S04G-H11,Уточнить цену,"Артикул; BAW Z08EO-UAD20B-S04G-H11; Код товара; BAW0040; Срок поставки; 4-6 недель; Аналоговый выход по напряжению, В; 0...10",https://balluff-rus.ru/catalog/induktivnye_datchiki_rasstoyaniya/induktivnyy_datchik_rasstoyaniya_balluff_baw_z08eo_uad20b_s04g_h11/
"Индуктивный датчик расстояния Balluff BAW M08EI-UAD15B-BP00,2-GS04",Уточнить цену,"Артикул; BAW M08EI-UAD15B-BP00,2-GS04; Код товара; BAW000N; Срок поставки; 4-6 недель; Аналоговый выход по напряжению, В; 0...10",https://balluff-rus.ru/catalog/induktivnye_datchiki_rasstoyaniya/induktivnyy_datchik_rasstoyaniya_balluff_baw_m08ei_uad15b_bp00_2_gs04/
Индуктивный датчик расстояния Balluff BAW R03KC-UAE40B-BP03,Уточнить цену,"Артикул; BAW R03KC-UAE40B-BP03; Код товара; BAW0032; Срок поставки; 4-6 недель; Аналоговый выход по напряжению, В; 0...10",https://balluff-rus.ru/catalog/induktivnye_datchiki_rasstoyaniya/induktivnyy_datchik_rasstoyaniya_balluff_baw_r03kc_uae40b_bp03/
"Индуктивный датчик расстояния Balluff BAW M12MF2-UAC40F-BP00,2-GS04",Уточнить цену,"Артикул; BAW M12MF2-UAC40F-BP00,2-GS04; Код товара; BAW0014; Срок поставки; 4-6 недель; Аналоговый выход по напряжению, В; 0...10",https://balluff-rus.ru/catalog/induktivnye_datchiki_rasstoyaniya/induktivnyy_datchik_rasstoyaniya_balluff_baw_m12mf2_uac40f_bp00_2_gs04/
Индуктивный датчик расстояния Balluff BAW M12ME-IAC35C-S04G,Уточнить цену,"Артикул; BAW M12ME-IAC35C-S04G; Код товара; BAW0054; Срок поставки; 4-6 недель; Аналоговый выход по току, мА; 0...20",https://balluff-rus.ru/catalog/induktivnye_datchiki_rasstoyaniya/induktivnyy_datchik_rasstoyaniya_balluff_baw_m12me_iac35c_s04g/
Индуктивный датчик расстояния Balluff BAW M12MF-IAC70G-BP02,Уточнить цену,"Артикул; BAW M12MF-IAC70G-BP02; Код товара; BAW004L; Срок поставки; 4-6 недель; Аналоговый выход по току, мА; 0...20",https://balluff-rus.ru/catalog/induktivnye_datchiki_rasstoyaniya/induktivnyy_datchik_rasstoyaniya_balluff_baw_m12mf_iac70g_bp02/
Индуктивный датчик расстояния Balluff BAW M12MG2-UAC20B-BP05,Уточнить цену,"Артикул; BAW M12MG2-UAC20B-BP05; Код товара; BAW001M; Срок поставки; 4-6 недель; Аналоговый выход по напряжению, В; 0...10",https://balluff-rus.ru/catalog/induktivnye_datchiki_rasstoyaniya/induktivnyy_datchik_rasstoyaniya_balluff_baw_m12mg2_uac20b_bp05/
"Индуктивный датчик расстояния Balluff BAW M12MN-ICC35C-BP00,2-GS04",Уточнить цену,"Артикул; BAW M12MN-ICC35C-BP00,2-GS04; Код товара; BAW004R; Срок поставки; 4-6 недель; Аналоговый выход по току, мА; 4...20",https://balluff-rus.ru/catalog/induktivnye_datchiki_rasstoyaniya/induktivnyy_datchik_rasstoyaniya_balluff_baw_m12mn_icc35c_bp00_2_gs04/
Индуктивный датчик расстояния Balluff BAW M12MN-ICC35C-BP02,Уточнить цену,"Артикул; BAW M12MN-ICC35C-BP02; Код товара; BAW0051; Срок поставки; 4-6 недель; Аналоговый выход по току, мА; 4...20",https://balluff-rus.ru/catalog/induktivnye_datchiki_rasstoyaniya/induktivnyy_datchik_rasstoyaniya_balluff_baw_m12mn_icc35c_bp02/
Индуктивный датчик расстояния Balluff BAW M18ME-UDC40B-BP01,Уточнить цену,"Артикул; BAW M18ME-UDC40B-BP01; Код товара; BAW0028; Срок поставки; 4-6 недель; Аналоговый выход по напряжению, В; 1...9",https://balluff-rus.ru/catalog/induktivnye_datchiki_rasstoyaniya/induktivnyy_datchik_rasstoyaniya_balluff_baw_m18me_udc40b_bp01/
Индуктивный датчик расстояния Balluff BAW M08EH-UAD15B-S04G,Уточнить цену,"Артикул; BAW M08EH-UAD15B-S04G; Код товара; BAW003R; Срок поставки; 4-6 недель; Аналоговый выход по напряжению, В; 0...10",https://balluff-rus.ru/catalog/induktivnye_datchiki_rasstoyaniya/induktivnyy_datchik_rasstoyaniya_balluff_baw_m08eh_uad15b_s04g/
Индуктивный датчик расстояния Balluff BAW M12MG2-UAC20B-BV10-001,Уточнить цену,"Артикул; BAW M12MG2-UAC20B-BV10-001; Код товара; BAW001N; Срок поставки; 4-6 недель; Аналоговый выход по напряжению, В; 0...10",https://balluff-rus.ru/catalog/induktivnye_datchiki_rasstoyaniya/induktivnyy_datchik_rasstoyaniya_balluff_baw_m12mg2_uac20b_bv10_001/
Индуктивный датчик расстояния Balluff BAW M12MI-UAC35C-S04G,Уточнить цену,"Артикул; BAW M12MI-UAC35C-S04G; Код товара; BAW004C; Срок поставки; 4-6 недель; Аналоговый выход по напряжению, В; 0...10",https://balluff-rus.ru/catalog/induktivnye_datchiki_rasstoyaniya/induktivnyy_datchik_rasstoyaniya_balluff_baw_m12mi_uac35c_s04g/
"Индуктивный датчик расстояния Balluff BAW M12MM-UAC70G-BP00,2-GS04",Уточнить цену,"Артикул; BAW M12MM-UAC70G-BP00,2-GS04; Код товара; BAW004E; Срок поставки; 4-6 недель; Аналоговый выход по напряжению, В; 0...10",https://balluff-rus.ru/catalog/induktivnye_datchiki_rasstoyaniya/induktivnyy_datchik_rasstoyaniya_balluff_baw_m12mm_uac70g_bp00_2_gs04/
Индуктивный датчик расстояния Balluff BAW M18ME-ICC50B-BP03,Уточнить цену,"Артикул; BAW M18ME-ICC50B-BP03; Код товара; BAW001T; Срок поставки; 4-6 недель; Аналоговый выход по току, мА; 4...20",https://balluff-rus.ru/catalog/induktivnye_datchiki_rasstoyaniya/induktivnyy_datchik_rasstoyaniya_balluff_baw_m18me_icc50b_bp03/
