Название,Цена,Артикул,Описание,Ссылка
ВБ3С.48.xx.TR2000.1П.1.К,5 004 руб.,F189,"Диффузионный оптический датчик в корпусе из АБС и латуни с резьбой М18x1 длиной 48 мм. Не чувствителен к фону. Sn на сталь: 20...2000 мм, Sn на тест-карту: 20...2500 мм, 400 Гц, PNP, NO/NC, размыкающий или замыкающий, -20...+70 °C, 10...30 V DC, кабель ПВХ 5,5 мм/4x0,2/ 2 м.",https://mega-k.com/products/vb3c-48-xx-tr2000-1p-1-k
ВБ3С.48.xx.TR400.1П.1.К,4 836 руб.,F192,"Диффузионный оптический датчик в корпусе из АБС и латуни с резьбой М18x1 длиной 48 мм. Не чувствителен к фону. Sn на сталь: 5...400 мм, Sn на тест-карту: 5...600 мм, 400 Гц, PNP, NO/NC, размыкающий или замыкающий, -20...+70 °C, 10...30 V DC, кабель ПВХ 5,5 мм/4x0,2/ 2 м.",https://mega-k.com/products/vb3c-48-xx-tr400-1p-1-k
ВБ3С.48.xx.TRL100.1П.1.К,6 336 руб.,F193,"Лазерный диффузионный оптический датчик в корпусе из АБС и латуни с резьбой М18x1 длиной 48 мм. Не чувствителен к фону. Sn на сталь: 30...100 мм, Sn на тест-карту: 30...120 мм, частота переключения: 400 Гц, PNP, NO/NC, размыкающий или замыкающий, -20...+70 °C, 10...30 V DC, кабель ПВХ 5,5 мм/4x0,2/ 2 м.",https://mega-k.com/products/vb3c-48-xx-trl100-1p-1-k
ВБ3С.48.xx.TRL100.2П.1.С4,6 336 руб.,F197,"Лазерный диффузионный оптический датчик в корпусе из АБС и латуни с резьбой М18x1 длиной 48 мм. Не чувствителен к фону. Sn на сталь: 30...100 мм, Sn на тест-карту: 30...120 мм, частота переключения: 400 Гц, NPN, NO/NC, размыкающий или замыкающий, -20...+70 °C, 10...30 V DC, разъем/М12/4-конт.",https://mega-k.com/products/vb3c-48-xx-trl100-2p-1-c4
ВБ3С.48.xx.TRL5000.1П.1.К,6 336 руб.,F194,"Лазерный рефлекторный оптический датчик в корпусе из АБС и латуни с резьбой М18x1 длиной 48 мм. Sn: 200...5000 мм, 400 Гц, PNP, NO/NC, размыкающий или замыкающий, -20...+70 °C, 10...30 V DC, кабель ПВХ 5,5 мм/4x0,2/ 2 м.",https://mega-k.com/products/vb3c-48-xx-trl5000-1p-1-k
ВБ3С.48.xx.TRL5000.1П.1.К.41,6 600 руб.,F195,"Лазерный рефлекторный оптический датчик в корпусе из АБС и латуни с резьбой М18x1 длиной 48 мм. Sn: 200...5000 мм, 1000 Гц, PNP, NO/NC, размыкающий или замыкающий, -20...+70 °C, 10...30 V DC, кабель ПВХ 5,5 мм/4x0,2/ 2 м.",https://mega-k.com/products/vb3c-48-xx-trl5000-1p-1-k-41
ВБ3С.48.xx.TRL5000.56П.1.К.41,7 020 руб.,F196,"Лазерный рефлекторный оптический датчик в корпусе из АБС и латуни с резьбой М18x1 длиной 48 мм. Sn: 200...5000 мм, 1000 Гц, PNP+NPN, NO/NC, размыкающий или замыкающий, -20...+70 °C, 10...30 V DC, кабель ПВХ 5,5 мм/5x0,2/ 2 м.",https://mega-k.com/products/vb3c-48-xx-trl5000-56p-1-k-41
ВБ3ФС.48.xx.TR100.1.1.К,5 076 руб.,F199,"Диффузионный оптический датчик в корпусе из АБС и латуни с резьбой М18x1 длиной 48 мм. Не чувствителен к фону. Sn на сталь: 5...100 мм, Sn на тест-карту: 5...120 мм, 400 Гц, PNP, замыкающий, NO, -20...+70 °C, 10...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/vb3fc-48-xx-tr100-1-1-k
ВБ3ФС.48.xx.TR100.2.1.К,5 076 руб.,F200,"Диффузионный оптический датчик в корпусе из АБС и латуни с резьбой М18x1 длиной 48 мм. Не чувствителен к фону. Sn на сталь: 5...100 мм, Sn на тест-карту: 5...120 мм, 400 Гц, NPN, замыкающий, NO, -20...+70 °C, 10...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/vb3fc-48-xx-tr100-2-1-k
ВБ3ФС.48.xx.TR1000.1.1.С4,5 046 руб.,F198,"Диффузионный оптический датчик в корпусе из АБС и латуни с резьбой М18x1 длиной 48 мм. Не чувствителен к фону. Sn на сталь: 10...1000 мм, Sn на тест-карту: 10...1500 мм, 400 Гц, PNP, замыкающий, NO, -20...+70 °C, 10...30 V DC, разъем/М12/4-конт.",https://mega-k.com/products/vb3fc-48-xx-tr1000-1-1-c4
ВБ3ФС.48.xx.TR200.1.1.С4,5 046 руб.,F202,"Диффузионный оптический датчик в корпусе из АБС и латуни с резьбой М18x1 длиной 48 мм. Не чувствителен к фону. Sn на сталь: 5...200 мм, Sn на тест-карту: 5...250 мм, 400 Гц, PNP, замыкающий, NO, -20...+70 °C, 10...30 V DC, разъем/М12/4-конт.",https://mega-k.com/products/vb3fc-48-xx-tr200-1-1-c4
ВБ3ФС.48.xx.TR2000.1.1.С4,5 046 руб.,F201,"Диффузионный оптический датчик в корпусе из АБС и латуни с резьбой М18x1 длиной 48 мм. Не чувствителен к фону. Sn на сталь: 20...2000 мм, Sn на тест-карту: 20...2500 мм, 400 Гц, PNP, замыкающий, NO, -20...+70 °C, 10...30 V DC, разъем/М12/4-конт.",https://mega-k.com/products/vb3fc-48-xx-tr2000-1-1-c4
ВБ3ФС.48.xx.TR400.1.1.С4,5 046 руб.,F203,"Диффузионный оптический датчик в корпусе из АБС и латуни с резьбой М18x1 длиной 48 мм. Не чувствителен к фону. Sn на сталь: 5...400 мм, Sn на тест-карту: 5...600 мм, 400 Гц, PNP, замыкающий, NO, -20...+70 °C, 10...30 V DC, разъем/М12/4-конт.",https://mega-k.com/products/vb3fc-48-xx-tr400-1-1-c4
