Название,Цена,Артикул,Описание,Ссылка
ВБ3С.18М.65.TR1000.1П.1.К/С18,4 104 руб.,F078,"Диффузионный оптический датчик в цилиндрическом корпусе с резьбой М18x1 длиной 65 мм. Sn на тест-карту: 5...1500 мм, 400 Гц, PNP, NO/NC, размыкающий или замыкающий, -20...+70 °C, 10...30 V DC, разъем M12.",https://mega-k.com/products/vb3c-18m-65-tr1000-1p-1-kc18
ВБ3С.18М.65.TR1000.2П.1.К,3 720 руб.,F079,"Диффузионный оптический датчик в цилиндрическом корпусе с резьбой М18x1 длиной 65 мм. Sn на тест-карту: 10...1500 мм, 400 Гц, NPN, NO/NC, размыкающий или замыкающий, -20...+70 °C, 10...30 V DC, кабель ПВХ 5,5 мм/4x0,2/ 2 м.",https://mega-k.com/products/vb3c-18m-65-tr1000-2p-1-k
ВБ3С.18М.65.TR1000.5.1.К,4 800 руб.,F080,"Диффузионный оптический датчик в цилиндрическом корпусе с резьбой М18x1 длиной 65 мм. Sn на тест-карту: 10...1500 мм, 400 Гц, PNP, переключающий, NO+NC, -20...+70 °C, 10...30 V DC, кабель ПВХ 5,5 мм/4x0,2/ 2 м.",https://mega-k.com/products/vb3c-18m-65-tr1000-5-1-k
ВБ3С.18М.65.TR1000.5.1.К.41,4 974 руб.,F083,"Диффузионный оптический датчик в цилиндрическом корпусе с резьбой М18x1 длиной 65 мм. Sn на тест-карту: 5...1500 мм, 1000 Гц, PNP, переключающий, NO+NC, -20...+70 °C, 10...30 V DC, кабель ПВХ 5,5 мм/4x0,2/ 2 м.",https://mega-k.com/products/vb3c-18m-65-tr1000-5-1-k-41
ВБ3С.18М.65.TR1000.5.1.К/С18,5 160 руб.,F081,"Диффузионный оптический датчик в цилиндрическом корпусе с резьбой М18x1 длиной 65 мм. Sn на тест-карту: 10...1500 мм, 400 Гц, PNP, переключающий, NO+NC, -20...+70 °C, 10...30 V DC, разъем/М12/4-конт.",https://mega-k.com/products/vb3c-18m-65-tr1000-5-1-kc18
ВБ3С.18М.65.TR1000.5.1.К/С18.41,5 364 руб.,F082,"Диффузионный оптический датчик в цилиндрическом корпусе с резьбой М18x1 длиной 65 мм. Sn на тест-карту: 10...1500 мм, 1000 Гц, PNP, переключающий, NO+NC, -20...+70 °C, 10...30 V DC, разъем/М12/4-конт.",https://mega-k.com/products/vb3c-18m-65-tr1000-5-1-kc18-41
ВБ3С.18М.65.TR1000.56П.1.К,4 560 руб.,F084,"Диффузионный оптический датчик в цилиндрическом корпусе с резьбой М18x1 длиной 65 мм. Sn на тест-карту: 10...1500 мм, 400 Гц, PNP+NPN, NO/NC, размыкающий или замыкающий, -20...+70 °C, 10...30 V DC, кабель ПВХ 5,5 мм/5x0,2/ 2 м.",https://mega-k.com/products/vb3c-18m-65-tr1000-56p-1-k
ВБ3С.18М.65.TR1000.6.1.К,4 800 руб.,F085,"Диффузионный оптический датчик в цилиндрическом корпусе с резьбой М18x1 длиной 65 мм. Sn на тест-карту: 10...1500 мм, 400 Гц, NPN, переключающий, NO+NC, -20...+70 °C, 10...30 V DC, кабель ПВХ 5,5 мм/4x0,2/ 2 м.",https://mega-k.com/products/vb3c-18m-65-tr1000-6-1-k
ВБ3С.18М.65.TR1000.6.1.К.41,4 974 руб.,F086,"Диффузионный оптический датчик в цилиндрическом корпусе с резьбой М18x1 длиной 65 мм. Sn на тест-карту: 5...1500 мм, 1000 Гц, NPN, переключающий, NO+NC, -20...+70 °C, 10...30 V DC, кабель ПВХ 5,5 мм/4x0,2/ 2 м.",https://mega-k.com/products/vb3c-18m-65-tr1000-6-1-k-41
ВБ3С.18М.65.TR200.1П.1.К,3 720 руб.,F099,"Диффузионный оптический датчик в цилиндрическом корпусе с резьбой М18x1 длиной 65 мм. Sn на тест-карту: 5...250 мм, 400 Гц, PNP, NO/NC, размыкающий или замыкающий, -20...+70 °C, 10...30 V DC, кабель ПВХ 5,5 мм/4x0,2/ 2 м.",https://mega-k.com/products/vb3c-18m-65-tr200-1p-1-k
ВБ3С.18М.65.TR200.1П.1.К.41,3 948 руб.,F101,"Диффузионный оптический датчик в цилиндрическом корпусе с резьбой М18x1 длиной 65 мм. Sn на тест-карту: 5...250 мм, 1000 Гц, PNP, NO/NC, размыкающий или замыкающий, -20...+70 °C, 10...30 V DC, кабель ПВХ 5,5 мм/4x0,2/ 2 м.",https://mega-k.com/products/vb3c-18m-65-tr200-1p-1-k-41
ВБ3С.18М.65.TR200.1П.1.К/С18,4 104 руб.,F100,"Диффузионный оптический датчик в цилиндрическом корпусе с резьбой М18x1 длиной 65 мм. Sn на тест-карту: 5...250 мм, 400 Гц, PNP, NO/NC, размыкающий или замыкающий, -20...+70 °C, 10...30 V DC, разъем M12.",https://mega-k.com/products/vb3c-18m-65-tr200-1p-1-kc18
ВБ3С.18М.65.TR200.2П.1.К,3 720 руб.,F102,"Диффузионный оптический датчик в цилиндрическом корпусе с резьбой М18x1 длиной 65 мм. Sn на тест-карту: 5...250 мм, 400 Гц, NPN, NO/NC, размыкающий или замыкающий, -20...+70 °C, 10...30 V DC, кабель ПВХ 5,5 мм/4x0,2/ 2 м.",https://mega-k.com/products/vb3c-18m-65-tr200-2p-1-k
ВБ3С.18М.65.TR200.2П.1.К/С18,4 104 руб.,F103,"Диффузионный оптический датчик в цилиндрическом корпусе с резьбой М18x1 длиной 65 мм. Sn на тест-карту: 5...250 мм, 400 Гц, NPN, NO/NC, размыкающий или замыкающий, -20...+70 °C, 10...30 V DC, разъем M12.",https://mega-k.com/products/vb3c-18m-65-tr200-2p-1-kc18
ВБ3С.18М.65.TR200.5.1.К,4 800 руб.,F104,"Диффузионный оптический датчик в цилиндрическом корпусе с резьбой М18x1 длиной 65 мм. Sn на тест-карту: 5...250 мм, 400 Гц, PNP, переключающий, NO+NC, -20...+70 °C, 10...30 V DC, кабель ПВХ 5,5 мм/4x0,2/ 2 м.",https://mega-k.com/products/vb3c-18m-65-tr200-5-1-k
ВБ3С.18М.65.TR200.5.1.К/С18.41,5 364 руб.,F105,"Диффузионный оптический датчик в цилиндрическом корпусе с резьбой М18x1 длиной 65 мм. Sn на тест-карту: 5...250 мм, 1000 Гц, PNP, переключающий, NO+NC, -20...+70 °C, 10...30 V DC, разъем M12.",https://mega-k.com/products/vb3c-18m-65-tr200-5-1-kc18-41
ВБ3С.18М.65.TR200.56П.1.К,4 560 руб.,F106,"Диффузионный оптический датчик в цилиндрическом корпусе с резьбой М18x1 длиной 65 мм. Sn на тест-карту: 5...250 мм, 400 Гц, PNP+NPN, NO/NC, размыкающий или замыкающий, -20...+70 °C, 10...30 V DC, кабель ПВХ 5,5 мм/5x0,2/ 2 м.",https://mega-k.com/products/vb3c-18m-65-tr200-56p-1-k
ВБ3С.18М.65.TR200.6.1.К,4 800 руб.,F107,"Диффузионный оптический датчик в цилиндрическом корпусе с резьбой М18x1 длиной 65 мм. Sn на тест-карту: 5...250 мм, 400 Гц, NPN, переключающий, NO+NC, -20...+70 °C, 10...30 V DC, кабель ПВХ 5,5 мм/4x0,2/ 2 м.",https://mega-k.com/products/vb3c-18m-65-tr200-6-1-k
ВБ3С.18М.65.TR2000.1П.1.К/С18,4 164 руб.,F097,"Диффузионный оптический датчик в цилиндрическом корпусе с резьбой М18x1 длиной 65 мм. Sn на тест-карту: 20...2500 мм, 400 Гц, PNP, NO/NC, размыкающий или замыкающий, -20...+70 °C, 10...30 V DC, разъем M12.",https://mega-k.com/products/vb3c-18m-65-tr2000-1p-1-kc18
ВБ3С.18М.65.TR2000.5.1.К,5 232 руб.,F098,"Диффузионный оптический датчик в цилиндрическом корпусе с резьбой М18x1 длиной 65 мм. Sn на тест-карту: 20...2500 мм, 400 Гц, PNP, переключающий, NO+NC, -20...+70 °C, 10...30 V DC, кабель ПВХ 5,5 мм/4x0,2/ 2 м.",https://mega-k.com/products/vb3c-18m-65-tr2000-5-1-k
ВБ3С.18М.65.TR400.1П.1.К,3 720 руб.,F108,"Диффузионный оптический датчик в цилиндрическом корпусе с резьбой М18x1 длиной 65 мм. Sn на тест-карту: 5...600 мм, 400 Гц, PNP, NO/NC, размыкающий или замыкающий, -20...+70 °C, 10...30 V DC, кабель ПВХ 5,5 мм/4x0,2/ 2 м.",https://mega-k.com/products/vb3c-18m-65-tr400-1p-1-k
ВБ3С.18М.65.TR400.1П.1.К.41,3 948 руб.,F110,"Диффузионный оптический датчик в цилиндрическом корпусе с резьбой М18x1 длиной 65 мм. Sn на тест-карту: 5...600 мм, 1000 Гц, PNP, NO/NC, размыкающий или замыкающий, -20...+70 °C, 10...30 V DC, кабель ПВХ 5,5 мм/4x0,2/ 2 м.",https://mega-k.com/products/vb3c-18m-65-tr400-1p-1-k-41
ВБ3С.18М.65.TR400.1П.1.К/С18,4 104 руб.,F109,"Диффузионный оптический датчик в цилиндрическом корпусе с резьбой М18x1 длиной 65 мм. Sn на тест-карту: 5...600 мм, 400 Гц, PNP, NO/NC, размыкающий или замыкающий, -20...+70 °C, 10...30 V DC, разъем M12.",https://mega-k.com/products/vb3c-18m-65-tr400-1p-1-kc18
ВБ3С.18М.65.TR400.2П.1.К,3 720 руб.,F111,"Диффузионный оптический датчик в цилиндрическом корпусе с резьбой М18x1 длиной 65 мм. Sn на тест-карту: 5...600 мм, 400 Гц, NPN, NO/NC, размыкающий или замыкающий, -20...+70 °C, 10...30 V DC, кабель ПВХ 5,5 мм/4x0,2/ 2 м.",https://mega-k.com/products/vb3c-18m-65-tr400-2p-1-k
ВБ3С.18М.65.TR400.5.1.К,4 800 руб.,F112,"Диффузионный оптический датчик в цилиндрическом корпусе с резьбой М18x1 длиной 65 мм. Sn на тест-карту: 5...600 мм, 400 Гц, PNP, переключающий, NO+NC, -20...+70 °C, 10...30 V DC, кабель ПВХ 5,5 мм/4x0,2/ 2 м.",https://mega-k.com/products/vb3c-18m-65-tr400-5-1-k
ВБ3С.18М.65.TR400.5.1.К.41,4 974 руб.,F114,"Диффузионный оптический датчик в цилиндрическом корпусе с резьбой М18x1 длиной 65 мм. Sn на тест-карту: 5...600 мм, 1000 Гц, PNP, переключающий, NO+NC, -20...+70 °C, 10...30 V DC, кабель ПВХ 5,5 мм/4x0,2/ 2 м.",https://mega-k.com/products/vb3c-18m-65-tr400-5-1-k-41
ВБ3С.18М.65.TR400.5.1.К/С18,5 160 руб.,F113,"Диффузионный оптический датчик в цилиндрическом корпусе с резьбой М18x1 длиной 65 мм. Sn на тест-карту: 5...600 мм, 400 Гц, PNP, переключающий, NO+NC, -20...+70 °C, 10...30 V DC, разъем/М12/4-конт.",https://mega-k.com/products/vb3c-18m-65-tr400-5-1-kc18
ВБ3С.18М.65.TR400.56П.1.К,4 560 руб.,F115,"Диффузионный оптический датчик в цилиндрическом корпусе с резьбой М18x1 длиной 65 мм. Sn на тест-карту: 5...600 мм, 400 Гц, PNP+NPN, NO/NC, размыкающий или замыкающий, -20...+70 °C, 10...30 V DC, кабель ПВХ 5,5 мм/5x0,2/ 2 м.",https://mega-k.com/products/vb3c-18m-65-tr400-56p-1-k
ВБ3С.18М.65.TR400.6.1.К,4 800 руб.,F116,"Диффузионный оптический датчик в цилиндрическом корпусе с резьбой М18x1 длиной 65 мм. Sn на тест-карту: 5...600 мм, 400 Гц, NPN, переключающий, NO+NC, -20...+70 °C, 10...30 V DC, кабель ПВХ 5,5 мм/4x0,2/ 2 м.",https://mega-k.com/products/vb3c-18m-65-tr400-6-1-k
ВБ3С.18М.65.TRL100.1П.1.К,5 544 руб.,F119,"Лазерный рефлекторный оптический датчик в цилиндрическом корпусе с резьбой М18x1 длиной 65 мм. Sn на световозвращатель: 30 … 5000 мм, 400 Гц, PNP, NO/NC, размыкающий или замыкающий, -20...+70 °C, 10...30 V DC, кабель ПВХ 5,5 мм/4x0,2/ 2 м.",https://mega-k.com/products/vb3c-18m-65-trl100-1p-1-k
ВБ3С.18М.65.TRL100.2П.1.К.41,5 820 руб.,F120,"Лазерный рефлекторный оптический датчик в цилиндрическом корпусе с резьбой М18x1 длиной 65 мм. Sn на световозвращатель: 30 … 5000 мм, 1000 Гц, NPN, NO/NC, размыкающий или замыкающий, -20...+70 °C, 10...30 V DC, кабель ПВХ 5,5 мм/4x0,2/ 2 м.",https://mega-k.com/products/vb3c-18m-65-trl100-2p-1-k-41
ВБ3С.18М.65.TRL100.5.1.К,5 820 руб.,F121,"Лазерный рефлекторный оптический датчик в цилиндрическом корпусе с резьбой М18x1 длиной 65 мм. Sn на световозвращатель: 30 … 5000 мм, 400 Гц, PNP, переключающий, NO+NC, -20...+70 °C, 10...30 V DC, кабель ПВХ 5,5 мм/4x0,2/ 2 м.",https://mega-k.com/products/vb3c-18m-65-trl100-5-1-k
ВБ3С.18М.65.TRL100.5.1.К.41,6 900 руб.,F122,"Лазерный рефлекторный оптический датчик в цилиндрическом корпусе с резьбой М18x1 длиной 65 мм. Sn на световозвращатель: 30 … 5000 мм, 1000 Гц, PNP, переключающий, NO+NC, -20...+70 °C, 10...30 V DC, кабель ПВХ 5,5 мм/4x0,2/ 2 м.",https://mega-k.com/products/vb3c-18m-65-trl100-5-1-k-41
ВБ3С.18М.65.TRL100.56П.1.К,6 048 руб.,F123,"Лазерный рефлекторный оптический датчик в цилиндрическом корпусе с резьбой М18x1 длиной 65 мм. Sn на световозвращатель: 30 … 5000 мм, 400 Гц, PNP+NPN, NO/NC, размыкающий или замыкающий, -20...+70 °C, 10...30 V DC, кабель ПВХ 5,5 мм/5x0,2/ 2 м.",https://mega-k.com/products/vb3c-18m-65-trl100-56p-1-k
ВБ3С.18М.65.TRL10000.1П.1.К,6 487 руб.,F124,"Лазерный рефлекторный оптический датчик в цилиндрическом корпусе с резьбой М18x1 длиной 65 мм. Sn на световозвращатель: 1000 … 10000 мм, 400 Гц, PNP, NO/NC, размыкающий или замыкающий, -20...+70 °C, 10...30 V DC, кабель ПВХ 5,5 мм/4x0,2/ 2 м.",https://mega-k.com/products/vb3c-18m-65-trl10000-1p-1-k
ВБ3С.18М.65.TRL2500.1П.1.К,5 604 руб.,F125,"Лазерный рефлекторный оптический датчик в цилиндрическом корпусе с резьбой М18x1 длиной 65 мм. Sn на световозвращатель: 200 … 2500 мм, 400 Гц, PNP, NO/NC, размыкающий или замыкающий, -20...+70 °C, 10...30 V DC, кабель ПВХ 5,5 мм/4x0,2/ 2 м.",https://mega-k.com/products/vb3c-18m-65-trl2500-1p-1-k
ВБ3С.18М.65.TRL2500.2П.1.К,5 604 руб.,F126,"Лазерный рефлекторный оптический датчик в цилиндрическом корпусе с резьбой М18x1 длиной 65 мм. Sn на световозвращатель: 200 … 2500 мм, 400 Гц, NPN, NO/NC, размыкающий или замыкающий, -20...+70 °C, 10...30 V DC, кабель ПВХ 5,5 мм/4x0,2/ 2 м.",https://mega-k.com/products/vb3c-18m-65-trl2500-2p-1-k
ВБ3С.18М.65.TRL2500.56П.1.К,7 056 руб.,F127,"Лазерный рефлекторный оптический датчик в цилиндрическом корпусе с резьбой М18x1 длиной 65 мм. Sn на световозвращатель: 200 … 2500 мм, 400 Гц, PNP+NPN, NO/NC, размыкающий или замыкающий, -20...+70 °C, 10...30 V DC, кабель ПВХ 5,5 мм/5x0,2/ 2 м.",https://mega-k.com/products/vb3c-18m-65-trl2500-56p-1-k
ВБ3С.18М.65.TRL5000.1П.1.К,5 436 руб.,F128,"Лазерный рефлекторный оптический датчик в цилиндрическом корпусе с резьбой М18x1 длиной 65 мм. Sn на световозвращатель: 200...5000 мм, 400 Гц, PNP, NO/NC, размыкающий или замыкающий, -20...+70 °C, 10...30 V DC, кабель ПВХ 5,5 мм/4x0,2/ 2 м.",https://mega-k.com/products/vb3c-18m-65-trl5000-1p-1-k
ВБ3С.18М.65.TRL5000.2П.1.К,5 436 руб.,F129,"Лазерный рефлекторный оптический датчик в цилиндрическом корпусе с резьбой М18x1 длиной 65 мм. Sn на световозвращатель: 200 … 5000 мм, 400 Гц, NPN, NO/NC, размыкающий или замыкающий, -20...+70 °C, 10...30 V DC, кабель ПВХ 5,5 мм/4x0,2/ 2 м.",https://mega-k.com/products/vb3c-18m-65-trl5000-2p-1-k
ВБ3С.18М.65.TRL5000.2П.1.К.41,5 550 руб.,F130,"Лазерный рефлекторный оптический датчик в цилиндрическом корпусе с резьбой М18x1 длиной 65 мм. Sn на световозвращатель: 200 … 5000 мм, 1000 Гц, NPN, NO/NC, размыкающий или замыкающий, -20...+70 °C, 10...30 V DC, кабель ПВХ 5,5 мм/4x0,2/ 2 м.",https://mega-k.com/products/vb3c-18m-65-trl5000-2p-1-k-41
ВБ3С.18М.65.TRL5000.5.1.К,6 384 руб.,F131,"Лазерный рефлекторный оптический датчик в цилиндрическом корпусе с резьбой М18x1 длиной 65 мм. Sn на световозвращатель: 200 … 5000 мм, 400 Гц, PNP, переключающий, NO+NC, -20...+70 °C, 10...30 V DC, кабель ПВХ 5,5 мм/4x0,2/ 2 м.",https://mega-k.com/products/vb3c-18m-65-trl5000-5-1-k
ВБ3С.18М.65.TRL5000.56П.1.К,5 988 руб.,F132,"Лазерный рефлекторный оптический датчик в цилиндрическом корпусе с резьбой М18x1 длиной 65 мм. Sn на световозвращатель: 200 … 5000 мм, 400 Гц, PNP+NPN, NO/NC, размыкающий или замыкающий, -20...+70 °C, 10...30 V DC, кабель ПВХ 5,5 мм/5x0,2/ 2 м.",https://mega-k.com/products/vb3c-18m-65-trl5000-56p-1-k
ВБ3С.18М.65.TRL5000.6.1.К,6 384 руб.,F133,"Лазерный рефлекторный оптический датчик в цилиндрическом корпусе с резьбой М18x1 длиной 65 мм. Sn на световозвращатель: 200 … 5000 мм, 400 Гц, NPN, переключающий, NO+NC, -20...+70 °C, 10...30 V DC, кабель ПВХ 5,5 мм/4x0,2/ 2 м.",https://mega-k.com/products/vb3c-18m-65-trl5000-6-1-k
ВБ3С.18М.80.TR100.1П.1.Z,3 720 руб.,F140,"Диффузионный оптический датчик в цилиндрическом корпусе с резьбой М18x1 длиной 80 мм. Sn на тест-карту: 5...120 мм, 400 Гц, PNP, NO/NC, размыкающий или замыкающий, -20...+70 °C, 10...30 V DC, кабель ПВХ 5,5 мм/4x0,2/ 2 м.",https://mega-k.com/products/vb3c-18m-80-tr100-1p-1-z
ВБ3С.18М.80.TR100.2П.1.Z,3 720 руб.,F141,"Диффузионный оптический датчик в цилиндрическом корпусе с резьбой М18x1 длиной 80 мм. Sn на тест-карту: 5...120 мм, 400 Гц, NPN, NO/NC, размыкающий или замыкающий, -20...+70 °C, 10...30 V DC, кабель ПВХ 5,5 мм/4x0,2/ 2 м.",https://mega-k.com/products/vb3c-18m-80-tr100-2p-1-z
ВБ3С.18М.80.TR100.56П.1.Z,4 560 руб.,F142,"Диффузионный оптический датчик в цилиндрическом корпусе с резьбой М18x1 длиной 80 мм. Sn на тест-карту: 5...120 мм, 400 Гц, PNP+NPN, NO/NC, размыкающий или замыкающий, -20...+70 °C, 10...30 V DC, кабель ПВХ 5,5 мм/5x0,2/ 2 м.",https://mega-k.com/products/vb3c-18m-80-tr100-56p-1-z
ВБ3С.18М.80.TR1000.1П.1.Z,3 720 руб.,F137,"Диффузионный оптический датчик в цилиндрическом корпусе с резьбой М18x1 длиной 80 мм. Sn на тест-карту: 5...1500 мм, 400 Гц, PNP, NO/NC, размыкающий или замыкающий, -20...+70 °C, 10...30 V DC, кабель ПВХ 5,5 мм/4x0,2/ 2 м.",https://mega-k.com/products/vb3c-18m-80-tr1000-1p-1-z
ВБ3С.18М.80.TR1000.1П.1.Z.41,3 948 руб.,F138,"Диффузионный оптический датчик в цилиндрическом корпусе с резьбой М18x1 длиной 80 мм. Sn на тест-карту: 5...1500 мм, 1000 Гц, PNP, NO/NC, размыкающий или замыкающий, -20...+70 °C, 10...30 V DC, кабель ПВХ 5,5 мм/4x0,2/ 2 м.",https://mega-k.com/products/vb3c-18m-80-tr1000-1p-1-z-41
ВБ3С.18М.80.TR1000.5.1.Z,4 800 руб.,F139,"Диффузионный оптический датчик в цилиндрическом корпусе с резьбой М18x1 длиной 80 мм. Sn на тест-карту: 10...1500 мм, 400 Гц, PNP, переключающий, NO+NC, -20...+70 °C, 10...30 V DC, кабель ПВХ 5,5 мм/4x0,2/ 2 м.",https://mega-k.com/products/vb3c-18m-80-tr1000-5-1-z
ВБ3С.18М.80.TR200.1П.1.Z,3 720 руб.,F144,"Диффузионный оптический датчик в цилиндрическом корпусе с резьбой М18x1 длиной 80 мм. Sn на тест-карту: 5...250 мм, 400 Гц, PNP, NO/NC, размыкающий или замыкающий, -20...+70 °C, 10...30 V DC, кабель ПВХ 5,5 мм/4x0,2/ 2 м.",https://mega-k.com/products/vb3c-18m-80-tr200-1p-1-z
ВБ3С.18М.80.TR200.2П.1.Z,3 720 руб.,F145,"Диффузионный оптический датчик в цилиндрическом корпусе с резьбой М18x1 длиной 80 мм. Sn на тест-карту: 5...250 мм, 400 Гц, NPN, NO/NC, размыкающий или замыкающий, -20...+70 °C, 10...30 V DC, кабель ПВХ 5,5 мм/4x0,2/ 2 м.",https://mega-k.com/products/vb3c-18m-80-tr200-2p-1-z
ВБ3С.18М.80.TR200.2П.1.Z.41,3 948 руб.,F146,"Диффузионный оптический датчик в цилиндрическом корпусе с резьбой М18x1 длиной 80 мм. Sn на тест-карту: 5...250 мм, 1000 Гц, NPN, NO/NC, размыкающий или замыкающий, -20...+70 °C, 10...30 V DC, кабель ПВХ 5,5 мм/4x0,2/ 2 м.",https://mega-k.com/products/vb3c-18m-80-tr200-2p-1-z-41
ВБ3С.18М.80.TR200.5.1.Z,4 800 руб.,F147,"Диффузионный оптический датчик в цилиндрическом корпусе с резьбой М18x1 длиной 80 мм. Sn на тест-карту: 5...250 мм, 400 Гц, PNP, переключающий, NO+NC, -20...+70 °C, 10...30 V DC, кабель ПВХ 5,5 мм/4x0,2/ 2 м.",https://mega-k.com/products/vb3c-18m-80-tr200-5-1-z
ВБ3С.18М.80.TR200.56П.1.Z,4 560 руб.,F148,"Диффузионный оптический датчик в цилиндрическом корпусе с резьбой М18x1 длиной 80 мм. Sn на тест-карту: 5...250 мм, 400 Гц, PNP+NPN, NO/NC, размыкающий или замыкающий, -20...+70 °C, 10...30 V DC, кабель ПВХ 5,5 мм/5x0,2/ 2 м.",https://mega-k.com/products/vb3c-18m-80-tr200-56p-1-z
ВБ3С.18М.80.TR200.6.1.Z.41,4 980 руб.,F149,"Диффузионный оптический датчик в цилиндрическом корпусе с резьбой М18x1 длиной 80 мм. Sn на тест-карту: 5...250 мм, 1000 Гц, NPN, переключающий, NO+NC, -20...+70 °C, 10...30 V DC, кабель ПВХ 5,5 мм/4x0,2/ 2 м.",https://mega-k.com/products/vb3c-18m-80-tr200-6-1-z-41
ВБ3С.18М.80.TR400.1П.1.Z,3 720 руб.,F151,"Диффузионный оптический датчик в цилиндрическом корпусе с резьбой М18x1 длиной 80 мм. Sn на тест-карту: 5...600 мм, 400 Гц, PNP, NO/NC, размыкающий или замыкающий, -20...+70 °C, 10...30 V DC, кабель ПВХ 5,5 мм/4x0,2/ 2 м.",https://mega-k.com/products/vb3c-18m-80-tr400-1p-1-z
ВБ3С.18М.80.TR400.5.1.Z,4 800 руб.,F152,"Диффузионный оптический датчик в цилиндрическом корпусе с резьбой М18x1 длиной 80 мм. Sn на тест-карту: 10...600 мм, 400 Гц, PNP, переключающий, NO+NC, -20...+70 °C, 10...30 V DC, кабель ПВХ 5,5 мм/4x0,2/ 2 м.",https://mega-k.com/products/vb3c-18m-80-tr400-5-1-z
